
Gatherer - The Official Magic: The Gathering Card Database

1. Enter a search term 	2. Choose fields                	3. Apply filters 	4. Select output 	Go!

Enter a search term 	Search card name
Search rules text
Search card type
Search flavor text
Search artist
Search mana cost
Search Power
Search Toughness 	Show only this format or set:


Show only cards of this color:


Show only cards in this group:

	Select output type:


Select sort order:




	Search
Clear Form



Gatherer Search Results Statistics
Number: 180 cards total

CardName:	Aerie Ouphes
Cost:	4G
Type:	Creature - Ouphe
Pow/Tgh:	3/3
Rules Text:	Sacrifice Aerie Ouphes: Aerie Ouphes deals damage equal to its power to target creature with flying. Persist (When this creature is put into a graveyard from play, if it had no -1/-1 counters on it, return it to play under its owner's control with a -1/-1 counter on it.)
Set/Rarity:	Eventide Common
 	 
CardName:	Altar Golem
Cost:	7
Type:	Artifact Creature - Golem
Pow/Tgh:	*/*
Rules Text:	Trample Altar Golem's power and toughness are each equal to the number of creatures in play. Altar Golem doesn't untap during your untap step. Tap five untapped creatures you control: Untap Altar Golem.
Set/Rarity:	Eventide Rare
 	 
CardName:	Antler Skulkin
Cost:	5
Type:	Artifact Creature - Scarecrow
Pow/Tgh:	3/3
Rules Text:	2: Target white creature gains persist until end of turn. (When it's put into a graveyard from play, if it had no -1/-1 counters on it, return it to play under its owner's control with a -1/-1 counter on it.)
Set/Rarity:	Eventide Common
 	 
CardName:	Archon of Justice
Cost:	3WW
Type:	Creature - Archon
Pow/Tgh:	4/4
Rules Text:	Flying When Archon of Justice is put into a graveyard from play, remove target permanent from the game.
Set/Rarity:	Eventide Rare
 	 
CardName:	Ashling, the Extinguisher
Cost:	2BB
Type:	Legendary Creature - Elemental Shaman
Pow/Tgh:	4/4
Rules Text:	Whenever Ashling, the Extinguisher deals combat damage to a player, choose target creature that player controls. He or she sacrifices that creature.
Set/Rarity:	Eventide Rare
 	 
CardName:	Balefire Liege
Cost:	2(R/W)(R/W)(R/W)
Type:	Creature - Spirit Horror
Pow/Tgh:	2/4
Rules Text:	Other red creatures you control get +1/+1. Other white creatures you control get +1/+1. Whenever you play a red spell, Balefire Liege deals 3 damage to target player. Whenever you play a white spell, you gain 3 life.
Set/Rarity:	Eventide Rare
 	 
CardName:	Ballynock Trapper
Cost:	3W
Type:	Creature - Kithkin Soldier
Pow/Tgh:	2/2
Rules Text:	T Tap target creature. Whenever you play a white spell, you may untap Ballynock Trapper.
Set/Rarity:	Eventide Common
 	 
CardName:	Banishing Knack
Cost:	U
Type:	Instant
Pow/Tgh:	/
Rules Text:	Until end of turn, target creature gains "T Return target nonland permanent to its owner's hand."
Set/Rarity:	Eventide Common
 	 
CardName:	Battlegate Mimic
Cost:	1(R/W)
Type:	Creature - Shapeshifter
Pow/Tgh:	2/1
Rules Text:	Whenever you play a spell that's both red and white, Battlegate Mimic becomes 4/2 and gains first strike until end of turn.
Set/Rarity:	Eventide Common
 	 
CardName:	Batwing Brume
Cost:	1(W/B)
Type:	Instant
Pow/Tgh:	/
Rules Text:	Prevent all combat damage that would be dealt this turn if W was spent to play Batwing Brume. Each player loses 1 life for each attacking creature he or she controls if B was spent to play Batwing Brume. (Do both if WB was spent.)
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Beckon Apparition
Cost:	(W/B)
Type:	Instant
Pow/Tgh:	/
Rules Text:	Remove target card in a graveyard from the game. Put a 1/1 white and black Spirit creature token with flying into play.
Set/Rarity:	Eventide Common
 	 
CardName:	Belligerent Hatchling
Cost:	3(R/W)
Type:	Creature - Elemental
Pow/Tgh:	6/6
Rules Text:	First strike Belligerent Hatchling comes into play with four -1/-1 counters on it. Whenever you play a red spell, remove a -1/-1 counter from Belligerent Hatchling. Whenever you play a white spell, remove a -1/-1 counter from Belligerent Hatchling.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Bloodied Ghost
Cost:	1(W/B)(W/B)
Type:	Creature - Spirit
Pow/Tgh:	3/3
Rules Text:	Flying Bloodied Ghost comes into play with a -1/-1 counter on it.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Bloom Tender
Cost:	1G
Type:	Creature - Elf Druid
Pow/Tgh:	1/1
Rules Text:	T For each color among permanents you control, add one mana of that color to your mana pool.
Set/Rarity:	Eventide Rare
 	 
CardName:	Cache Raiders
Cost:	3UU
Type:	Creature - Merfolk Rogue
Pow/Tgh:	4/4
Rules Text:	At the beginning of your upkeep, return a permanent you control to its owner's hand.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Call the Skybreaker
Cost:	5(U/R)(U/R)
Type:	Sorcery
Pow/Tgh:	/
Rules Text:	Put a 5/5 blue and red Elemental creature token with flying into play. Retrace (You may play this card from your graveyard by discarding a land card in addition to paying its other costs.)
Set/Rarity:	Eventide Rare
 	 
CardName:	Canker Abomination
Cost:	2(B/G)(B/G)
Type:	Creature - Treefolk Horror
Pow/Tgh:	6/6
Rules Text:	As Canker Abomination comes into play, choose an opponent. Canker Abomination comes into play with a -1/-1 counter on it for each creature that player controls.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Cankerous Thirst
Cost:	3(B/G)
Type:	Instant
Pow/Tgh:	/
Rules Text:	If B was spent to play Cankerous Thirst, you may have target creature get -3/-3 until end of turn. If G was spent to play Cankerous Thirst, you may have target creature get +3/+3 until end of turn. (Do both if BG was spent.)
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Cascade Bluffs
Cost:	
Type:	Land
Pow/Tgh:	/
Rules Text:	T Add 1 to your mana pool. o(u/r), T Add UU, UR, or RR to your mana pool.
Set/Rarity:	Eventide Rare
 	 
CardName:	Cauldron Haze
Cost:	1(W/B)
Type:	Instant
Pow/Tgh:	/
Rules Text:	Choose any number of target creatures. Each of those creatures gains persist until end of turn. (When it's put into a graveyard from play, if it had no -1/-1 counters on it, return it to play under its owner's control with a -1/-1 counter on it.)
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Cenn's Enlistment
Cost:	3W
Type:	Sorcery
Pow/Tgh:	/
Rules Text:	Put two 1/1 white Kithkin Soldier creature tokens into play. Retrace (You may play this card from your graveyard by discarding a land card in addition to paying its other costs.)
Set/Rarity:	Eventide Common
 	 
CardName:	Chaotic Backlash
Cost:	4R
Type:	Instant
Pow/Tgh:	/
Rules Text:	Chaotic Backlash deals damage to target player equal to twice the number of white and/or blue permanents he or she controls.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Cinder Pyromancer
Cost:	2R
Type:	Creature - Elemental Shaman
Pow/Tgh:	0/1
Rules Text:	T Cinder Pyromancer deals 1 damage to target player. Whenever you play a red spell, you may untap Cinder Pyromancer.
Set/Rarity:	Eventide Common
 	 
CardName:	Clout of the Dominus
Cost:	(U/R)
Type:	Enchantment - Aura
Pow/Tgh:	/
Rules Text:	Enchant creature As long as enchanted creature is blue, it gets +1/+1 and has shroud. (It can't be the target of spells or abilities.) As long as enchanted creature is red, it gets +1/+1 and has haste.
Set/Rarity:	Eventide Common
 	 
CardName:	Cold-Eyed Selkie
Cost:	1(G/U)(G/U)
Type:	Creature - Merfolk Rogue
Pow/Tgh:	1/1
Rules Text:	Islandwalk Whenever Cold-Eyed Selkie deals combat damage to a player, you may draw that many cards.
Set/Rarity:	Eventide Rare
 	 
CardName:	Crackleburr
Cost:	1(U/R)(U/R)
Type:	Creature - Elemental
Pow/Tgh:	2/2
Rules Text:	o(u/r)o(u/r), T, Tap two untapped red creatures you control: Crackleburr deals 3 damage to target creature or player. o(u/r)o(u/r), oQ, Untap two tapped blue creatures you control: Return target creature to its owner's hand. (oQ is the untap symbol.)
Set/Rarity:	Eventide Rare
 	 
CardName:	Crag Puca
Cost:	(U/R)(U/R)(U/R)
Type:	Creature - Shapeshifter
Pow/Tgh:	2/4
Rules Text:	o(u/r): Switch Crag Puca's power and toughness until end of turn.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Creakwood Ghoul
Cost:	4B
Type:	Creature - Plant Zombie
Pow/Tgh:	3/3
Rules Text:	o(b/g)o(b/g): Remove target card in a graveyard from the game. You gain 1 life.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Creakwood Liege
Cost:	1(B/G)(B/G)(B/G)
Type:	Creature - Horror
Pow/Tgh:	2/2
Rules Text:	Other black creatures you control get +1/+1. Other green creatures you control get +1/+1. At the beginning of your upkeep, you may put a 1/1 black and green Worm creature token into play.
Set/Rarity:	Eventide Rare
 	 
CardName:	Crumbling Ashes
Cost:	1B
Type:	Enchantment
Pow/Tgh:	/
Rules Text:	At the beginning of your upkeep, destroy target creature with a -1/-1 counter on it.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Deathbringer Liege
Cost:	2(W/B)(W/B)(W/B)
Type:	Creature - Horror
Pow/Tgh:	3/4
Rules Text:	Other white creatures you control get +1/+1. Other black creatures you control get +1/+1. Whenever you play a white spell, you may tap target creature. Whenever you play a black spell, you may destroy target creature if it's tapped.
Set/Rarity:	Eventide Rare
 	 
CardName:	Deity of Scars
Cost:	(B/G)(B/G)(B/G)(B/G)(B/G)
Type:	Creature - Spirit Avatar
Pow/Tgh:	7/7
Rules Text:	Trample Deity of Scars comes into play with two -1/-1 counters on it. o(b/g), Remove a -1/-1 counter from Deity of Scars: Regenerate Deity of Scars.
Set/Rarity:	Eventide Rare
 	 
CardName:	Desecrator Hag
Cost:	2(B/G)(B/G)
Type:	Creature - Hag
Pow/Tgh:	2/2
Rules Text:	When Desecrator Hag comes into play, return to your hand the creature card in your graveyard with the highest power. If two or more cards are tied for highest power, you choose one of them.
Set/Rarity:	Eventide Common
 	 
CardName:	Divinity of Pride
Cost:	(W/B)(W/B)(W/B)(W/B)(W/B)
Type:	Creature - Spirit Avatar
Pow/Tgh:	4/4
Rules Text:	Flying, lifelink Divinity of Pride gets +4/+4 as long as you have 25 or more life.
Set/Rarity:	Eventide Rare
 	 
CardName:	Dominus of Fealty
Cost:	(U/R)(U/R)(U/R)(U/R)(U/R)
Type:	Creature - Spirit Avatar
Pow/Tgh:	4/4
Rules Text:	Flying At the beginning of your upkeep, you may gain control of target permanent until end of turn. If you do, untap it and it gains haste until end of turn.
Set/Rarity:	Eventide Rare
 	 
CardName:	Doomgape
Cost:	4(B/G)(B/G)(B/G)
Type:	Creature - Elemental
Pow/Tgh:	10/10
Rules Text:	Trample At the beginning of your upkeep, sacrifice a creature. You gain life equal to that creature's toughness.
Set/Rarity:	Eventide Rare
 	 
CardName:	Double Cleave
Cost:	1(R/W)
Type:	Instant
Pow/Tgh:	/
Rules Text:	Target creature gains double strike until end of turn. (It deals both first-strike and regular combat damage.)
Set/Rarity:	Eventide Common
 	 
CardName:	Drain the Well
Cost:	2(B/G)(B/G)
Type:	Sorcery
Pow/Tgh:	/
Rules Text:	Destroy target land. You gain 2 life.
Set/Rarity:	Eventide Common
 	 
CardName:	Dream Fracture
Cost:	1UU
Type:	Instant
Pow/Tgh:	/
Rules Text:	Counter target spell. Its controller draws a card. Draw a card.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Dream Thief
Cost:	2U
Type:	Creature - Faerie Rogue
Pow/Tgh:	2/1
Rules Text:	Flying When Dream Thief comes into play, draw a card if you played another blue spell this turn.
Set/Rarity:	Eventide Common
 	 
CardName:	Duergar Assailant
Cost:	(R/W)
Type:	Creature - Dwarf Soldier
Pow/Tgh:	1/1
Rules Text:	Sacrifice Duergar Assailant: Duergar Assailant deals 1 damage to target attacking or blocking creature.
Set/Rarity:	Eventide Common
 	 
CardName:	Duergar Cave-Guard
Cost:	3R
Type:	Creature - Dwarf Warrior
Pow/Tgh:	1/3
Rules Text:	Wither (This deals damage to creatures in the form of -1/-1 counters.) o(r/w): Duergar Cave-Guard gets +1/+0 until end of turn.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Duergar Hedge-Mage
Cost:	2(R/W)
Type:	Creature - Dwarf Shaman
Pow/Tgh:	2/2
Rules Text:	When Duergar Hedge-Mage comes into play, if you control two or more Mountains, you may destroy target artifact. When Duergar Hedge-Mage comes into play, if you control two or more Plains, you may destroy target enchantment.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Duergar Mine-Captain
Cost:	2(R/W)
Type:	Creature - Dwarf Soldier
Pow/Tgh:	2/1
Rules Text:	1o(r/w), oQ: Attacking creatures get +1/+0 until end of turn. (oQ is the untap symbol.)
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Duskdale Wurm
Cost:	5GG
Type:	Creature - Wurm
Pow/Tgh:	7/7
Rules Text:	Trample
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Edge of the Divinity
Cost:	(W/B)
Type:	Enchantment - Aura
Pow/Tgh:	/
Rules Text:	Enchant creature As long as enchanted creature is white, it gets +1/+2. As long as enchanted creature is black, it gets +2/+1.
Set/Rarity:	Eventide Common
 	 
CardName:	Endless Horizons
Cost:	3W
Type:	Enchantment
Pow/Tgh:	/
Rules Text:	When Endless Horizons comes into play, search your library for any number of Plains cards and remove them from the game. Then shuffle your library. At the beginning of your upkeep, you may put a card you own removed from the game with Endless Horizons into your hand.
Set/Rarity:	Eventide Rare
 	 
CardName:	Endure
Cost:	3WW
Type:	Instant
Pow/Tgh:	/
Rules Text:	Prevent all damage that would be dealt to you and permanents you control this turn.
Set/Rarity:	Eventide Uncommon
 	 
CardName:	Evershrike
Cost:	3(W/B)(W/B)
Type:	Creature - Elemental Spirit
Pow/Tgh:	2/2
Rules Text:	Flying Evershrike gets +2/+2 for each Aura attached to it. Xo(w/b)o(w/b): Return Evershrike from your graveyard to play. You may put an Aura card with converted mana cost X or less from your hand into play attached to it. If you don't, remove Evershrike from the game.
Set/Rarity:	Eventide Rare
 	 
CardName:	Fable of Wolf and Owl
Cost:	3(G/U)(G/U)(G/U)
Type:	Enchantment
Pow/Tgh:	/
Rules Text:	Whenever you play a green spell, you may put a 2/2 green Wolf creature token into play. Whenever you play a blue spell, you may put a 1/1 blue Bird creature token with flying into play.
Set/Rarity:	Eventide Rare
 	 
CardName:	Fang Skulkin
Cost:	2
Type:	Artifact Creature - Scarecrow
Pow/Tgh:	2/1
Rules Text:	2: Target black creature gains wither until end of turn. (It deals damage to creatures in the form of -1/-1 counters.)
Set/Rarity:	Eventide Common
 	 
CardName:	Favor of the Overbeing
Cost:	1(G/U)
Type:	Enchantment - Aura
Pow/Tgh:	/
Rules Text:	Enchant creature As long as enchanted creature is green, it gets +1/+1 and has vigilance. As long as enchanted creature is blue, it gets +1/+1 and has flying.
Set/Rarity:	Eventide Common
 	 
CardName:	Fetid Heath
Cost:	
Type:	Land
Pow/Tgh:	/
Rules Text:	T Add 1 to your mana pool. o(w/b), T Add WW, WB, or BB to your mana pool.
Set/Rarity:	Eventide Rare
 	 
CardName:	Fiery Bombardment
Cost:	1R
Type:	Enchantment
Pow/Tgh:	/
Rules Text:	Chroma - 2, Sacrifice a creature: Fiery Bombardment deals damage to target creature or player equal to the number of red mana symbols in the sacrificed creature's mana cost.
Set/Rarity:	Eventide Rare
 	 
CardName:	Figure of Destiny
Cost:	(R/W)
Type:	Creature - Kithkin
Pow/Tgh:	1/1
Rules Text:	o(r/w): Figure of Destiny becomes a 2/2 Kithkin Spirit. o(r/w)o(r/w)o(r/w): If Figure of Destiny is a Spirit, it becomes a 4/4 Kithkin Spirit Warrior. o(r/w)o(r/w)o(r/w)o(r/w)o(r/w)o(r/w): If Figure of Destiny is a Warrior, it becomes an 8/8 Kithkin Spirit Warrior Avatar with flying and first strike.
Set/Rarity:	Eventide Rare
 	 
CardName:	Fire at Will
Cost:	(R/W)(R/W)(R/W)
Type:	Instant
Pow/Tgh:	/
